Name	zul. aktualisiert am	Beschreibung des veganen Angebots	Straße und Hausnummer	Postleitzahl	Latitude	Longiture	Nächstgelegene Haltestelle (Bahn und Bus)	Telefon	Kommentar zu den Öffnungszeiten	Mo	Di	Mi	Do	Fr	Sa	So	Website	E-Mail	barrierefrei?	WC barrierefrei?	Hunde erlaubt?	Kindersitz?	Catering?	Lieferservice?	bio?	Sitzplätze außen?	glutenfrei?	WLAN?	Restaurant?	Imbiss?	Café?	Eiscafé?	Bäcler?	Bar?	Sitzplätze innen?
MIU MIU China & Thai Food	01.01.18	Hier gibt es drei vegane Gerichte. 1. Gebratener Tofu mit Mango Curry mit Gemüse und Reis  2. Curry mit Gemüse und Reis (scharf)  3. Gebratene Reißnudeln mit Gemüse (glutenfrei)	Ritterstraße 10	76133	49.009367	8.400732	S Herrenstraße	0721 85140358	Bestellannahme ab 10:30	11:00 - 22:30	11:00 - 22:30	11:00 - 22:30	11:00 - 22:30	11:00 - 22:30	11:00 - 22:30	11:00 - 22:30	miu-miu.asia	ritterstrka@miu-miu-china-food.de	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1
Döneria	01.01.18	Hier gibt es veganen Salat mit veganem Dönerfleisch, veganen Yufka und einen Vegan-Teller.	Kaiserallee 145	76185	49.011163	8.365933	S Philippstraße	0721 5310808		12.00 - 21:30	12.00 - 21:30	12.00 - 21:30	12.00 - 21:30	12.00 - 21:30	12.00 - 21:30	12.00 - 21:30	www.doeneria-karlsruhe-kaiserallee.de		FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	
El Taquito	01.01.18	Hier gibt es zwei vegane Gerichte. 1. Mex-Gemüse mit Guacamole, Bohnenmus, Chips und Salat. 2. Tortillas gefüllt mit Gemüse, Pilzen und überbacken mit veganem Käse. Außerdem mit Salat und Guacamole.	Waldstraße 24 - 26 (Lindencarré)	76133	49.010774	8.397512	S Europaplatz, S Herrenstraße	0721 23881		11:30 - 01:00	11:30 - 01:00	11:30 - 01:00	11:30 - 01:00	11:30 - 01:00	11:30 - 01:00	11:30 - 23:00	www.el-taquito.de	kontakt@el-taquito.de	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1
ALEX Karlsruhe	01.01.18	Hier gibt es eine vegane Tomatensuppe, ein Gericht mit Blattspinat, eines mit Paprika und ein Süßkartoffel-Kichererbsen-Curry. 	Kaiserstraße 217	76133	49.009008	8.394122	S Europaplatz			08:00 - 00:00	08:00 - 00:00	08:00 - 00:00	08:00 - 00:00	08:00 - 01:00	08:00 - 01:00	09:00 - 00:00	www.dein-alex.de		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1
Aposto Karlsruhe	01.01.18	Hier gibt es eine Tomatencrèmesuppe, zwei Salate, Pizza Margherita und "Gemüserausch" sind auch vegan möglich und Napoli (hausgemachte Spaghetti mit Tomatensoße und Basilikum)	Waldstraße 57	76133	49.008767	8.396328	S Europaplatz	0721 1607773		08:30 - 01:00	08:30 - 01:00	08:30 - 01:00	08:30 - 01:00	08:30 - 02:00	08:30 - 02:00	08:30 - 01:00	www.karlsruhe.aposto.eu		TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1
Asmara	03.01.18	Ein marokkanisches Restaurant. Hier gibt es marokkanischen Kichererbseneintopf, Alicha (ein Currygericht), Bamya (ein Okragemüsegericht) und ein Grünkohlgericht mit roten Linsen. Liefersevice ist über Foodora und Lieferando möglich.	Kaiserallee 9	76133	49.010189	8.385531	S Mühlburger Tor	0721 2049828		-	12:00 - 14:00, 17:00 - 22:30	12:00 - 14:00, 17:00 - 22:30	12:00 - 14:00, 17:00 - 22:30 	12:00 - 14:00, 17:00 - 23:30	17:00 - 23:30 	17:00 - 22:30	www.asmara-ka.de	info@asmara-ka.de	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	
Backwerk	03.01.18	Hier gibt es verschiedene vegane belegte Brötchen, Börek, kleine Pizzen, Joghurts und Becher mit Fruchtstücken. Dies steht so auf der Website. Nicht alle dieser Speisen sind immer bei jeder Filiale verfügbar.	Kreuzstraße 9	76133	49.009391	8.405517	S Marktplatz	0721 35489990		06:00 - 19:30	06:00 - 19:30	06:00 - 19:30	06:00 - 19:30	06:00 - 19:30	06:00 - 19:00	10:00 - 13:00	www.back-werk.de		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	
Bep Xua – Vietnamesische Küche	03.01.18	Vietnamesisches Restaurant. Hat wechselnde Karten. Zurzeit steht auf dieser ein Gemüsepfannengericht mit Reis und Sojasoße.	Kriegsstraße 206	76135	49.005587	8.385021	S Otto-Sachs-Straße	0721 83168008		-	12:00 - 14:30, 18:00 - 22:30	12:00 - 14:30, 18:00 - 22:30	12:00 - 14:30, 18:00 - 22:30	12:00 - 14:30, 18:00 - 22:30	18:00 - 22:30	18:00 - 22:30	www.bepxua.de		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	
.Bratar	03.01.18	Hier gibt es vegane Burger die man selbst zusammenstellen kann, dazu Beilagen wie Salat oder Pommes. Die vegane Karte muss verlangt werden.	Ettlinger-Tor-Platz	76133	49.006873	8.403158	Bus Ettlinger Tor	0721 68028510		10:00 - 23:00	10:00 - 23:00	10:00 - 23:00	10:00 - 23:00	10:00 - 24:00	10:00 - 24:00	10:00 - 23:00	www.bratar.de	info@bratar.de	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1
Backwerk	03.01.18	Hier gibt es verschiedene vegane belegte Brötchen, Börek, kleine Pizzen, Joghurts und Becher mit Fruchtstücken. Dies steht so auf der Website. Nicht alle dieser Speisen sind immer bei jeder Filiale verfügbar.	Kaiserstraße 22	76133	49.009501	8.409582	S Kronenplatz	0721 91588840		05:30 - 20:00	05:30 - 20:00	05:30 - 20:00	05:30 - 20:00	05:30 - 20:00	06:00 - 19:00	-	www.back-werk.de		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	
Backwerk	03.01.18	Hier gibt es verschiedene vegane belegte Brötchen, Börek, kleine Pizzen, Joghurts und Becher mit Fruchtstücken. Dies steht so auf der Website. Nicht alle dieser Speisen sind immer bei jeder Filiale verfügbar.	Shop Gleis 7/8, Bahnhofsplatz 1	76137	48.993184	8.400871	S Hauptbahnhof			00:00 - 23:59	00:00 - 23:59	00:00 - 23:59	00:00 - 23:59	00:00 - 23:59	00:00 - 23:59	00:00 - 23:59	www.back-werk.de		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	
Carls Wirtshaus	03.01.18	Hier gibt es einen veganen Rote-Bete-Burger mit Beilagen	Alter Schlachthof 51	76131	49.005521	8.431567	S Tullastraße	0721 66996415		12:00 - 00:00	12:00 - 00:00	12:00 - 00:00	12:00 - 00:00	12:00 - 00:00	17:00 - 23:00	12:00 - 21:00	www.carls-wirtshaus.de	info@carls-wirtshaus.de	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	
Vegitat Cigköfte & Döner Lieferservice	03.01.18	! Von dieser Location kann man sich die Gerichte nur liefern lassen. Hier gibt es 3 vegane Burger-Menüs. Das Vegan-Burger-Menü, das Vegan-Cheeseburger-Menü und das Vegan-Avocadoburger-Menü. Außerdem gibt es 7 vegane Pizzen. “Margherita”, “Döner”, “Frühling”, “Tofu”, “Hack”, “Hawaii” und “Salami”. Dann gibt es noch veganen Döner und Yufka, Avocado-Yufka und Avocado-Döner, vegane Dönerbox und Dönerteller und vegane Hotdogs. Es gibt 7 vegane Cigköfte-Optionen, es gibt einen veganen Sojahack-Burrito und 4 verschiedenen vegane Toast Sandwiches.	Moningerstraße 30-32	76135	49.006093	8.383033	S Weinbrennerplatz	0176 30325480		11:30 - 22:30	11:30 - 22:30	11:30 - 22:30	11:30 - 22:30	13:00 - 22:00	-	14:00 - 22:30	www.vegitat-cigkoefte-doener.de		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	
Cilantro Bistro Del Arte	03.01.18	Versichert, dass immer ein vegane Variante des Mittagsmenüs angeboten wird.	Markgrafenstraße 31	76133	49.007197	8.406357	Bus Ettlinger Tor  S Marktplatz	0721 966 96 967		-	12:00 - 15:00  19:00 - 23:00	12:00 - 15:00 19:00 - 23:00	12:00 - 15:00 19:00 - 23:00	12:00 - 15:00 19:00 - 23:00	19:00 - 23:00	19:00 - 23:00	www.cilantrobistrodelarte.de	info@CilantroBistrodelArte.de	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	
!Eis Café Cortina	03.01.18		Kaiserstraße 101	76133	49.009249	8.407814	S Kronenplatz	0721 389579		10:00 - 19:00	10:00 - 19:00	10:00 - 19:00	10:00 - 19:00	10:00 - 19:00	12:00 - 19:00	13:00 - 19:00	eiscortina.com	info@eiscortina.com	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	
dean&david	03.01.18	Hier gibt es den Avocado-Superfood-Salat, das Grilled-Vegan-Sandwich und den Vegan-Oriental-Wrap.	Bahnhofsvorplatz 1A	76137	48.994227	8.401040	S Hauptbahnhof	0176 29640892		07:00 - 23:00	07:00 - 23:00	07:00 - 23:00	07:00 - 23:00	07:00 - 23:00	07:00 - 23:00	07:00 - 23:00	www.deananddavid.de	bahnhofsplatz.karlsruhe@deananddavid.com	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	
dean&david	03.01.18	Hier gibt es den Avocado-Superfood-Salat, das Grilled-Vegan-Sandwich und den Vegan-Oriental-Wrap.	Kaiserstr. 223a	76133	49.009947	8.393299	S Europaplatz	0721 1519331		10:00 - 19:00	10:00 - 19:00	10:00 - 19:00	10:00 - 19:00	10:00 - 19:00	12.00 - 18.00	12.00 - 18.00	www.deananddavid.de	karlsruhe@deananddavid.com	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	
DENKFABRIK Campus Nord	04.01.18	Hier gibt es einen veganen Gemüsespieß und eine vegane Gemüseplatte	Willy-Andreas-Allee 19	76131	49.017583	8.392283	S Synagoge	0721 92130340		09:00 - 15:00	09:00 - 15:00	09:00 - 24:00	09:00 - 15:00	09:00 - 15:00	-	-	www.denkfabrik-karlsruhe.de	info@sakis-partyservice.de	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	
DENKFABRIK SSC	04.01.18	Hier gibt es einen veganen Gemüsespieß und eine vegane Gemüseplatte	Am Sportpark 3	76131	49.026262	8.440845	S Hagsfeld Fächerbad	0721 93514138		11:00 - 24:00	11:00 - 24:00	11:00 - 24:00	11:00 - 24:00	11:00 - 24:00	11:00 - 24:00	11:00 - 24:00	www.denkfabrik-karlsruhe.de	info@sakis-partyservice.de	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	
eatclever Karlsruhe Lieferservice	04.01.18	Hier gibt es vegane Suppen, Salate, Wraps, Curry, Chili sin Carne und Bolognese	Moltkestraße 79A	76133	49.014952	8.375300	S St. Klinikum/ Moltkestraße	040 537 99 88 30		11:30 - 22:30	11:30 - 22:30	11:30 - 22:30	11:30 - 22:30	11:30 - 22:30	11:30 - 21:45	11:30 - 22:00	www.eatclever.de		FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0
!!Eis Cassata Karlsruhe	04.01.18		Georg-Friedrich-Straße 30	76131	49.008976	8.423480	S Gottesauerplatz	0721 606588		10:00 - 22:00	10:00 - 22:00	10:00 - 22:00	10:00 - 22:00	10:00 - 22:00	10:00 - 22:00	10:00 - 22:00			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	
.Café Emaille	04.01.18	Hier gibt es einen Vegan-Burger	Kaiserstraße 142	76133	49.010149	8.395602	S Europaplatz	0721 1510074		08:00 - 01:00	08:00 - 01:00	08:00 - 01:00	08:00 - 01:00	08:00 - 01:00	08:00 - 01:00	08:00 - 01:00	cafeemaille.de		TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	1
Enchilada Karlsruhe	04.01.18	Ensalada Grillada (Gegrillter Romanasalat | Chiasamen | Tomaten | Essig-Öl-Dressing | Steinofenbaguette), Batatas Fritas (Süßkartoffelpommes), Fajita Mérida (Paprika | Zucchini | Frühlingszwiebeln | Falafel | Weizentortillas | Rucola | Salat | Tomaten | Gurken | Mais | Jalapeños | Karotten | Pico de Gallo | Guacamole | Red Salsa)	Waldstraße 63	76133	49.008737	8.395529	S Europaplatz	0721 1208885		17:00 - 01:00	17:00 - 01:00	17:00 - 01:00	17:00 - 01:00	17:00 - 02:00	12:00 - 02:00	12:00 - 01:00	karlsruhe.enchilada.de		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	
!!EXO Karlsruhe	05.01.18	Zugang nur über den Zoologischen Stadtgarten!!	Ettlinger Str. 4c	76137	49.000388	8.402444	Bus Augartenstraße	0721 25515115		10:30 - 17:00	10:30 - ?	10:30 - ?	10:30 - ?	10:30 - ?	10:30 - ?	10:00 - ?	exo-karlsruhe.de	hallo@exo-karlsruhe.de	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	
?Falafelhaus	05.01.18		Amalienstraße 51	76133	49.008891	8.391430	S Europaplatz	01577 6017307		11:30 - 14:30, 17:00 - 20:30	11:30 -14:30, 17:00 - 20:30	11:30 -14:30, 17:00 - 20:30	11:30 -14:30, 17:00 - 20:30	11:30 -14:30, 17:00 - 20:30	11:30 -14:30, 17:00 - 20:30	-	www.foodora.de/restaurant/s4ij/falafelhaus		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	
!!Fünf	05.01.18		Kanalweg 52	76149	49.033011	8.392308	Bus Weißes Haus, S Heidehof	0721 97664712		-	18:00 - 01:00	18:00 - 01:00	18:00 - 01:00	18:00 - 01:00	18:00 - 01:00	18:00 - 24:00	www.fuenf.de		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
!Glashaus  Der vegetarische Imbiss	05.01.18	Suppe	Holzstraße 5	76135	49.002280	8.382300	Bus Holzstraße	0721 47178458		-	11:30 - 15:00	11:30 - 15:00	11:30 - 15:00	11:30 - 15:00	-	-	www.glashaus-im.biz	jopflueger@web.de	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	
!!Restaurant Gold	06.01.18		Ludwig-Wilhelm-Straße 12	76131	49.009339	8.422414	S Karl-Wilhelm-Platz, S Gottesauerplatz	0721 6268238		10:00 - 01:00	10:00 - 01:00	10:00 - 01:00	10:00 - 01:00	10:00 - 01:00	10:00 - 02:00	10:00 - 02:00	www.gold-ka.de	info@gold-ka.de	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	
!!Goldeneshorn	13.01.18		Kaiserallee 111	76133	49.009266	8.407198	S Philippstraße	0721 3523256		0	0	0	0	0	0	0	www.goldeneshorn.com	goldeneshorn@hotmail.de	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	1
!!Goldzünglein	06.01.18		Zirkel 11	76133	49.010503	8.407265	S Kronenplatz	1573 4437271		12:00 - 20:30	12:00 - 20:30	12:00 - 20:30	12:00 - 20:30	12:00 - 20:30	12:00 - 21:00	12:00 - 20:30	www.goldzuenglein.de	info@goldzuenglein.de	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	
!!Gasthaus Gutenberg	06.01.18	Hier gibt es eine vegane Currypfanne	Nelkenstraße 27	76135	49.008780	8.376260	S Yorckstraße, S Sophienstraße	0721 9851516	Vom Montag bis Samstag ist die Küche bis 22 Uhr geöffnet, Sonntags bis 21:30 Uhr.	11:00 - 24:00	11:00 - 24:00	11:00 - 24:00	11:00 - 24:00	11:00 - 24:00	10:00 - 24:00	17:00 - 23:00	www.gasthaus-gutenberg.de	denise@gasthaus-gutenberg.de	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	
Habibi Karlsruhe	06.01.18	Hier gibt es verschiedene Teller mit Falafel, Gemüse, Reis, Kartoffel, Hummus, Soße,..  Außerdem Sandwiches mit Falafel, Kartoffel, Hummus, Salat und Soße.	Kaiserstraße 65	76131	49.009138	8.411207	S Kronenplatz	0721 38482770		11.00 - 01:00	11.00 - 01:00	11.00 - 01:00	11.00 - 02:00	11.00 - 05:00	11.00 - 05:00	12:00 - 24:00	www.habibi-karlsruhe.de	info@partyservice-habibi-karlsruhe.de	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	
.Hans im Glück	06.01.18	Hier gibt es vier vegane Burger mit Beilagen	Karl-Friedrich-Straße 12	76133	49.008022	8.403566	S Marktplatz	0721 86428517		11:30 - 23:00	11:30 - 23:00	11:30 - 23:00	11:30 - 23:00	11:30 - 24:00	11:30 - 24:00	11:30 - 23:00	www.hansimglueck-burgergrill.de	kaiserhof@hansimglueck-burgergrill.de	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1
!!Heilige Sophie	12.01.18		Sophienstraße 35	76133	49.006844	8.391291	S Karlstor, S Europaplatz	0721 2039246		17:30 - 24:00	17:30 - 01:00	17:30 - 01:00	17:30 - 01:00	17:30 - 03:00	17:30 - 03:00	17:30 - 00:00	www.heilige-sophie.de	heilige-sophie@web.de	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1
!!IL VINO	13.01.18		Kaiserstraße 217	76133	49.009178	8.394424	S Europaplatz	0170 9677766		08:00 - 20:00	08:00 - 20:00	08:00 - 20:00	08:00 - 20:00	08:00 - 20:00	08:00 - 20:00	-			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	
!!Kaffeebar Isetta	13.01.18		Leibnizstraße 12	76137	48.997300	8.393071	S Kolpingplatz			10:00 - 19:00	10:00 - 19:00	10:00 - 19:00	10:00 - 19:00	10:00 - 19:00	10:00 - 19:00	10:00 - 19:00	www.kaffeebar-isetta.de	info@kaffeebar-isetta.de	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	1
Café Juli	13.01.18	"Das Süße vegan" (Buchweizenpfannkuchen mit Ahornsirup und Zwetschgenmus), "Das Juli vegan" (Buchweizenpfannkuchen mit Grillgemüse oder Salat)	Nelkenstraße 21	76135	49.00909	8.376406	S Yorckstraße, S Sophienstraße			09:00 -18:30	09:00 - 18:30	09:00 - 18:30	09:00 - 18:30	09:00 - 18:30	07:30 - 18:30	10:00 - 18:00	www.cafe-juli.de	info@cafe-juli.de	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	1
